Visitor/Neutral,PTS,Home/Neutral,PTS,,,,,,
Detroit Pistons,74,New Orleans Hornets,93,,,,,,
Golden State Warriors,94,San Antonio Spurs,111,,,,,,
Memphis Grizzlies,104,Phoenix Suns,98,,,,,,
Miami Heat,111,Utah Jazz,98,,,,,,
Washington Wizards,91,Sacramento Kings,116,,,,,,
Los Angeles Lakers,87,Los Angeles Clippers,86,,,,,,
Boston Celtics,102,Philadelphia 76ers,101,,,,,,
New Jersey Nets,89,Dallas Mavericks,102,,,,,,
Orlando Magic,83,Portland Trail Blazers,97,,,,,,
Charlotte Bobcats,92,Indiana Pacers,100,,,,,,
Denver Nuggets,123,Toronto Raptors,116,,,,,,
New York Knicks,101,Washington Wizards,95,,,,,,
Los Angeles Lakers,84,Chicago Bulls,88,,,,,,
Detroit Pistons,99,Minnesota Timberwolves,109,,,,,,
Oklahoma City Thunder,97,New Orleans Hornets,92,,,,,,
Houston Rockets,91,Milwaukee Bucks,97,,,,,,
Atlanta Hawks,92,San Antonio Spurs,108,,,,,,
Portland Trail Blazers,101,Phoenix Suns,94,,,,,,
Orlando Magic,105,Utah Jazz,117,,,,,,
Miami Heat,106,Golden State Warriors,84,,,,,,
Memphis Grizzlies,84,Los Angeles Clippers,83,,,,,,
Indiana Pacers,83,Atlanta Hawks,97,,,,,,
Boston Celtics,93,Charlotte Bobcats,62,,,,,,
Toronto Raptors,120,Detroit Pistons,116,,,,,,
Minnesota Timberwolves,82,Chicago Bulls,113,,,,,,
Utah Jazz,97,Dallas Mavericks,103,,,,,,
Cleveland Cavaliers,95,Houston Rockets,110,,,,,,
Miami Heat,104,Sacramento Kings,83,,,,,,
Denver Nuggets,125,New York Knicks,129,,,,,,
New Orleans Hornets,70,Philadelphia 76ers,88,,,,,,
Los Angeles Lakers,99,New Jersey Nets,92,,,,,,
Portland Trail Blazers,78,San Antonio Spurs,95,,,,,,
Cleveland Cavaliers,77,Oklahoma City Thunder,106,,,,,,
Orlando Magic,94,Los Angeles Clippers,85,,,,,,
New Orleans Hornets,84,Miami Heat,96,,,,,,
Indiana Pacers,73,Chicago Bulls,92,,,,,,
Portland Trail Blazers,73,Memphis Grizzlies,86,,,,,,
Milwaukee Bucks,103,Dallas Mavericks,99,,,,,,
Golden State Warriors,95,Utah Jazz,108,,,,,,
Toronto Raptors,91,Charlotte Bobcats,97,,,,,,
Philadelphia 76ers,82,New Jersey Nets,77,,,,,,
Los Angeles Lakers,103,Washington Wizards,89,,,,,,
Atlanta Hawks,80,Detroit Pistons,103,,,,,,
Sacramento Kings,105,Houston Rockets,118,,,,,,
Orlando Magic,94,Denver Nuggets,111,,,,,,
Minnesota Timberwolves,99,Golden State Warriors,108,,,,,,
Los Angeles Lakers,109,Indiana Pacers,94,,,,,,
Boston Celtics,118,New York Knicks,116,,,,,,
Los Angeles Clippers,91,Philadelphia 76ers,105,,,,,,
Chicago Bulls,110,Toronto Raptors,93,,,,,,
Cleveland Cavaliers,95,Miami Heat,101,,,,,,
Charlotte Bobcats,80,Memphis Grizzlies,113,,,,,,
Sacramento Kings,91,New Orleans Hornets,94,,,,,,
Houston Rockets,105,Oklahoma City Thunder,117,,,,,,
Milwaukee Bucks,90,San Antonio Spurs,92,,,,,,
Minnesota Timberwolves,122,Phoenix Suns,128,,,,,,
Portland Trail Blazers,98,Dallas Mavericks,103,,,,,,
Washington Wizards,89,New Jersey Nets,97,,,,,,
Atlanta Hawks,90,Boston Celtics,102,,,,,,
San Antonio Spurs,113,Denver Nuggets,112,,,,,,
Cleveland Cavaliers,99,Indiana Pacers,108,,,,,,
Miami Heat,113,New York Knicks,91,,,,,,
Los Angeles Lakers,93,Philadelphia 76ers,81,,,,,,
New Jersey Nets,92,Toronto Raptors,98,,,,,,
Charlotte Bobcats,85,Atlanta Hawks,90,,,,,,
Los Angeles Clippers,109,Detroit Pistons,88,,,,,,
Utah Jazz,71,New Orleans Hornets,100,,,,,,
Sacramento Kings,87,Oklahoma City Thunder,102,,,,,,
Memphis Grizzlies,87,Houston Rockets,103,,,,,,
Phoenix Suns,91,Dallas Mavericks,106,,,,,,
Minnesota Timberwolves,102,Portland Trail Blazers,107,,,,,,
Philadelphia 76ers,97,Orlando Magic,89,,,,,,
Miami Heat,95,Washington Wizards,94,,,,,,
New York Knicks,102,Cleveland Cavaliers,109,,,,,,
Los Angeles Clippers,100,Chicago Bulls,99,,,,,,
Utah Jazz,95,Milwaukee Bucks,86,,,,,,
Memphis Grizzlies,106,San Antonio Spurs,112,,,,,,
Minnesota Timberwolves,113,Denver Nuggets,115,,,,,,
Golden State Warriors,95,Portland Trail Blazers,96,,,,,,
Indiana Pacers,88,Boston Celtics,99,,,,,,
Atlanta Hawks,82,New Jersey Nets,89,,,,,,
Los Angeles Lakers,120,Toronto Raptors,110,,,,,,
New Orleans Hornets,108,Detroit Pistons,111,,,,,,
Houston Rockets,102,Sacramento Kings,93,,,,,,
Phoenix Suns,113,Oklahoma City Thunder,110,,,,,,
Orlando Magic,81,Atlanta Hawks,91,,,,,,
Utah Jazz,101,Cleveland Cavaliers,90,,,,,,
New Orleans Hornets,93,Indiana Pacers,94,,,,,,
Charlotte Bobcats,75,Washington Wizards,108,,,,,,
Dallas Mavericks,98,Miami Heat,96,,,,,,
Phoenix Suns,110,San Antonio Spurs,118,,,,,,
Milwaukee Bucks,80,Portland Trail Blazers,106,,,,,,
Houston Rockets,121,Golden State Warriors,112,,,,,,
Minnesota Timberwolves,90,Los Angeles Clippers,113,,,,,,
Oklahoma City Thunder,99,Charlotte Bobcats,81,,,,,,
Dallas Mavericks,105,Orlando Magic,99,,,,,,
Philadelphia 76ers,76,Chicago Bulls,121,,,,,,
New Jersey Nets,101,Memphis Grizzlies,94,,,,,,
Golden State Warriors,117,Sacramento Kings,109,,,,,,
Milwaukee Bucks,98,Los Angeles Lakers,79,,,,,,
Cleveland Cavaliers,84,Atlanta Hawks,98,,,,,,
Detroit Pistons,115,Toronto Raptors,93,,,,,,
Chicago Bulls,87,Washington Wizards,80,,,,,,
Philadelphia 76ers,80,Boston Celtics,84,,,,,,
Oklahoma City Thunder,98,New York Knicks,112,,,,,,
Utah Jazz,112,Minnesota Timberwolves,107,,,,,,
New Jersey Nets,91,New Orleans Hornets,105,,,,,,
Denver Nuggets,103,San Antonio Spurs,109,,,,,,
Houston Rockets,97,Los Angeles Clippers,92,,,,,,
San Antonio Spurs,101,Orlando Magic,123,,,,,,
Milwaukee Bucks,84,Sacramento Kings,79,,,,,,
Miami Heat,95,Phoenix Suns,83,,,,,,
Chicago Bulls,95,New York Knicks,103,,,,,,
Boston Celtics,78,Orlando Magic,86,,,,,,
Miami Heat,96,Los Angeles Lakers,80,,,,,,
Denver Nuggets,106,Oklahoma City Thunder,114,,,,,,
Portland Trail Blazers,102,Golden State Warriors,109,,,,,,
Phoenix Suns,103,Los Angeles Clippers,108,,,,,,
Minnesota Timberwolves,98,Cleveland Cavaliers,97,,,,,,
Chicago Bulls,95,Detroit Pistons,92,,,,,,
Memphis Grizzlies,104,Indiana Pacers,90,,,,,,
Atlanta Hawks,86,New Orleans Hornets,93,,,,,,
Washington Wizards,80,San Antonio Spurs,94,,,,,,
Philadelphia 76ers,95,Denver Nuggets,89,,,,,,
Detroit Pistons,100,Charlotte Bobcats,105,,,,,,
Orlando Magic,104,New Jersey Nets,88,,,,,,
Toronto Raptors,85,Memphis Grizzlies,96,,,,,,
Atlanta Hawks,95,Milwaukee Bucks,80,,,,,,
New Orleans Hornets,98,Minnesota Timberwolves,113,,,,,,
Dallas Mavericks,103,Oklahoma City Thunder,93,,,,,,
Washington Wizards,93,Houston Rockets,100,,,,,,
Portland Trail Blazers,96,Utah Jazz,91,,,,,,
Los Angeles Clippers,100,Sacramento Kings,99,,,,,,
Philadelphia 76ers,95,Golden State Warriors,110,,,,,,
Orlando Magic,110,Cleveland Cavaliers,95,,,,,,
Boston Celtics,95,Indiana Pacers,83,,,,,,
New York Knicks,98,Miami Heat,106,,,,,,
Milwaukee Bucks,77,Chicago Bulls,90,,,,,,
Toronto Raptors,84,Dallas Mavericks,76,,,,,,
Los Angeles Lakers,82,San Antonio Spurs,97,,,,,,
Portland Trail Blazers,77,Denver Nuggets,95,,,,,,
Golden State Warriors,93,Atlanta Hawks,103,,,,,,
Cleveland Cavaliers,92,Charlotte Bobcats,101,,,,,,
Indiana Pacers,90,Washington Wizards,104,,,,,,
Boston Celtics,92,Detroit Pistons,104,,,,,,
Denver Nuggets,119,Minnesota Timberwolves,113,,,,,,
Los Angeles Lakers,103,New Orleans Hornets,88,,,,,,
New Jersey Nets,93,Oklahoma City Thunder,114,,,,,,
Miami Heat,125,Houston Rockets,119,,,,,,
Philadelphia 76ers,123,Phoenix Suns,110,,,,,,
Memphis Grizzlies,98,Sacramento Kings,100,,,,,,
Utah Jazz,103,Los Angeles Clippers,95,,,,,,
New York Knicks,103,Orlando Magic,112,,,,,,
San Antonio Spurs,99,Dallas Mavericks,93,,,,,,
